Brand,Description,Price,Size,Volume,Classification,PurchasePrice,VendorNumber,VendorName
1343,Jack Daniels Sinatra Select,165.99,1000mL,1000,1,122.96,1128,BROWN-FORMAN CORP          
1345,Basil Hayden Bourbon,37.99,750mL,750,1,28.45,12546,JIM BEAM BRANDS COMPANY    
1346,Knob Creek Bourbon,29.99,750mL,750,1,22.55,12546,JIM BEAM BRANDS COMPANY    
1347,Bakers Bourbon,39.99,750mL,750,1,31.24,12546,JIM BEAM BRANDS COMPANY    
1348,Knob Creek Bourbon,17.99,375mL,375,1,11.84,12546,JIM BEAM BRANDS COMPANY    
1352,Patron Anejo Clsc Gift Set,61.99,750mL,750,1,41,9165,ULTRA BEVERAGE COMPANY LLP 
1355,Knob Creek Bourbon,3.49,50mL,50,1,2.59,12546,JIM BEAM BRANDS COMPANY    
1358,Knob Creek Bourbon,64.99,1750mL,1750,1,42.85,12546,JIM BEAM BRANDS COMPANY    
1359,Knob Creek Rye,32.99,750mL,750,1,21.87,12546,JIM BEAM BRANDS COMPANY    
1361,BenRiach 1994,189.99,750mL,750,1,138.68,9165,ULTRA BEVERAGE COMPANY LLP 
1364,Bols Pumpkin Spice,9.99,750mL,750,1,7.46,6213,MHW LTD                    
1365,Stoli Mini Bar 5/50mLs Pack,7.99,50mL 5 Pk,50,1,6.05,8664,"STOLI GROUP,(USA) LLC      "
1366,Red Stag by Jim Beam,1.29,50mL,50,1,0.93,12546,JIM BEAM BRANDS COMPANY    
1373,Jim Beam Honey,16.99,750mL,750,1,10.36,12546,JIM BEAM BRANDS COMPANY    
1375,Jim Beam,14.49,750mL,750,1,11.5,12546,JIM BEAM BRANDS COMPANY    
1376,Jim Beam,21.99,1750mL,1750,1,16.29,12546,JIM BEAM BRANDS COMPANY    
1378,Jim Beam,9.49,375mL,375,1,7.08,12546,JIM BEAM BRANDS COMPANY    
1379,Jim Beam Traveler,14.49,750mL,750,1,11.41,12546,JIM BEAM BRANDS COMPANY    
1380,Bulleit 95 Rye,49.99,1750mL,1750,1,34.05,3960,DIAGEO NORTH AMERICA INC   
1382,Makers 46,39.99,750mL,750,1,28.56,12546,JIM BEAM BRANDS COMPANY    
1384,Bulleit 95 Rye,25.99,750mL,750,1,18.93,3960,DIAGEO NORTH AMERICA INC   
1385,Makers Mark,26.99,750mL,750,1,20.45,12546,JIM BEAM BRANDS COMPANY    
1386,George Dickel No 8 Bourbon,21.99,750mL,750,1,14.59,3960,DIAGEO NORTH AMERICA INC   
1388,Red Stag by Jim Beam,28.99,1750mL,1750,1,19.22,12546,JIM BEAM BRANDS COMPANY    
1389,Makers Mark,2.99,50mL,50,1,2.18,12546,JIM BEAM BRANDS COMPANY    
1392,Red Stag Hardcore Cider,16.99,750mL,750,1,10.6,12546,JIM BEAM BRANDS COMPANY    
1393,Jim Beam,4.99,200mL,200,1,3.14,12546,JIM BEAM BRANDS COMPANY    
1394,Makers Mark,16.49,375mL,375,1,12.68,12546,JIM BEAM BRANDS COMPANY    
1395,Old Crow,8.99,750mL,750,1,5.88,12546,JIM BEAM BRANDS COMPANY    
1396,Old Crow,15.99,1750mL,1750,1,10.44,12546,JIM BEAM BRANDS COMPANY    
1397,Jim Beam Kentucky Fire,16.99,750mL,750,1,10.76,12546,JIM BEAM BRANDS COMPANY    
1398,Blantons Sgl Barrel Bourbon,56.99,750mL,750,1,40.59,8004,SAZERAC CO INC             
1399,Jim Beam Signature Craft,36.99,750mL,750,1,27.81,12546,JIM BEAM BRANDS COMPANY    
1404,Woodford Rsv Master Coll Pnt,89.99,750mL,750,1,64.28,1128,BROWN-FORMAN CORP          
1415,Old Grand Dad,14.99,750mL,750,1,10.39,12546,JIM BEAM BRANDS COMPANY    
1416,Old Grand Dad,24.99,1750mL,1750,1,19.83,12546,JIM BEAM BRANDS COMPANY    
1424,Bulleit Bourbon,14.99,375mL,375,1,9.69,3960,DIAGEO NORTH AMERICA INC   
1425,Granite Lightning Whiskey,27.99,750mL,750,1,20.73,28750,SMOKY QUARTZ DISTILLERY LLC
1464,Tin Cup Whiskey,25.99,750mL,750,1,19.22,7245,PROXIMO SPIRITS INC.       
1465,Woodford Rsv Bourbon,14.99,375mL,375,1,11.02,1128,BROWN-FORMAN CORP          
1468,Knob Creek Single Barrel Rsv,44.99,750mL,750,1,31.49,12546,JIM BEAM BRANDS COMPANY    
1476,Jim Beam Traveler,21.99,1750mL,1750,1,16.05,12546,JIM BEAM BRANDS COMPANY    
1479,Ten High,11.99,1750mL,1750,1,9.22,660,SAZERAC NORTH AMERICA INC. 
1535,Gentleman Jack,3.99,50mL,50,1,3.14,1128,BROWN-FORMAN CORP          
1542,Bowen's American Whiskey,29.99,750mL,750,1,22.72,9751,VINEDREA WINES LLC         
1545,Gentleman Jack,29.99,750mL,750,1,19.42,1128,BROWN-FORMAN CORP          
1595,Gentleman Jack,15.99,375mL,375,1,10.93,1128,BROWN-FORMAN CORP          
1623,Bulleit 95 Rye,14.99,375mL,375,1,10.07,3960,DIAGEO NORTH AMERICA INC   
1634,The Famous Grouse,29.99,1750mL,1750,1,20.73,2561,EDRINGTON AMERICAS         
1637,Fleischmanns Preferred,11.49,1750mL,1750,1,8.13,660,SAZERAC NORTH AMERICA INC. 
1639,The Famous Grouse,22.99,750mL,750,1,15.74,2561,EDRINGTON AMERICAS         
1657,Dalwhinnie Distillers Edtion,69.99,750mL,750,1,51.46,3960,DIAGEO NORTH AMERICA INC   
1692,Everclear 151,19.99,750mL,750,1,13.4,8352,LUXCO INC                  
1715,Ole Smoky Apple Pie Moonshne,19.99,750mL,750,1,13.76,6359,OLE SMOKY DISTILLERY LLC   
1725,Ole Smoky White Lightnin',19.99,750mL,750,1,14.17,6359,OLE SMOKY DISTILLERY LLC   
1728,Aberlour 16 Year Old Single,54.99,750mL,750,1,41.35,17035,PERNOD RICARD USA          
1734,Duggans Dew O Kirkintilloch,21.99,1750mL,1750,1,17.45,2496,DUGGANS DISTILLED PRODUCTS 
1737,Makers Mark,51.99,1750mL,1750,1,34.3,12546,JIM BEAM BRANDS COMPANY    
1738,Ole Smoky Moonshine Cherries,19.99,750mL,750,1,14.72,6359,OLE SMOKY DISTILLERY LLC   
1740,Glenkinchie 12 YO Scotch,59.99,750mL,750,1,40.71,3960,DIAGEO NORTH AMERICA INC   
1744,Old Forester 100 Bourbon,21.99,750mL,750,1,17.05,1128,BROWN-FORMAN CORP          
1746,Tomatin 12 Yr Old Scotch,26.99,750mL,750,1,19.99,9206,PHILLIPS PRODUCTS CO.      
1748,William Grant Scotch,15.99,750mL,750,1,10.29,3664,WILLIAM GRANT & SONS INC   
1758,Aberlour Glenlivet 12 Yr,39.99,750mL,750,1,29.76,17035,PERNOD RICARD USA          
1760,William Grant Scotch,25.99,1750mL,1750,1,19.69,3664,WILLIAM GRANT & SONS INC   
1767,Buffalo Trace Bourbon,24.99,750mL,750,1,19.37,8004,SAZERAC CO INC             
1770,Jack Daniels Tennessee Fire,38.99,1750mL,1750,1,26.42,1128,BROWN-FORMAN CORP          
1771,Jack Daniels Tennessee Fire,0.99,50mL,50,1,0.75,1128,BROWN-FORMAN CORP          
1781,Wild Turkey Russell's Rsv,49.99,750mL,750,1,37.59,11567,CAMPARI AMERICA            
1789,Jack Daniels Tennesse Fire,22.99,750mL,750,1,17.16,1128,BROWN-FORMAN CORP          
1790,Morrigan Irish Whiskey,27.99,750mL,750,1,15.5,9165,ULTRA BEVERAGE COMPANY LLP 
1817,Irishman Founders RSV Whisky,21.99,750mL,750,1,16.79,6785,PALM BAY INTERNATIONAL INC 
1835,Knappogue Castle Irish Whsky,26.99,750mL,750,1,19.7,1485,CASTLE BRANDS CORP.        
1836,Tyrconnell Irish Whiskey,29.99,750mL,750,1,21.73,12546,JIM BEAM BRANDS COMPANY    
1845,Cluny Scotch Whiskey,15.99,1750mL,1750,1,11.27,3252,E & J GALLO WINERY         
1848,Oban Little Bay Single Malt,62.99,750mL,750,1,47.01,3960,DIAGEO NORTH AMERICA INC   
1860,Bruichladdich Islay Barley,59.99,750mL,750,1,46.15,7239,REMY COINTREAU USA INC     
1862,John Power Irish Whiskey,25.99,750mL,750,1,19.22,17035,PERNOD RICARD USA          
1867,Jack Daniels Tennessee Honey,2.99,50mL,50,1,2.15,1128,BROWN-FORMAN CORP          
1868,Lagavulin Single Malt 16-Yr,66.99,750mL,750,1,49.62,3960,DIAGEO NORTH AMERICA INC   
1869,Oban 14-Yr Single Malt,54.99,750mL,750,1,40.14,3960,DIAGEO NORTH AMERICA INC   
1870,Oban Distiller's Edition,79.99,750mL,750,1,59.69,3960,DIAGEO NORTH AMERICA INC   
1874,Bruichladdich Octomore 61,109.99,750mL,750,1,84.61,7239,REMY COINTREAU USA INC     
1875,Bushmills Black Bush,31.99,750mL,750,1,20.71,7245,PROXIMO SPIRITS INC.       
1876,Midleton Rare Irish Whiskey,149.99,750mL,750,1,106.61,17035,PERNOD RICARD USA          
1880,The Glenlivet Nadurra 16 Yr,63.99,750mL,750,1,46.71,17035,PERNOD RICARD USA          
1883,Seagrams 7 Crown,17.99,1750mL,1750,1,13.23,3960,DIAGEO NORTH AMERICA INC   
1886,Seagrams 7 Crown,10.99,750mL,750,1,7.96,3960,DIAGEO NORTH AMERICA INC   
1892,Yukon Jack,0.99,50mL,50,1,0.72,3960,DIAGEO NORTH AMERICA INC   
1893,Port Charlotte Scotch Barley,54.99,750mL,750,1,43.99,7239,REMY COINTREAU USA INC     
1896,The Glenlivet 18 Yr Single,94.99,750mL,750,1,68.83,17035,PERNOD RICARD USA          
1920,Bowman Brothers Small Batch,29.99,750mL,750,1,22.55,8004,SAZERAC CO INC             
1921,Glenfiddich Special Rsv 12,67.99,1750mL,1750,1,52.71,3664,WILLIAM GRANT & SONS INC   
1955,Jack Daniels Tennessee Honey,12.99,375mL,375,1,9.62,1128,BROWN-FORMAN CORP          
1956,Balvenie 12 Yr Doublewood S,53.99,750mL,750,1,39.99,3664,WILLIAM GRANT & SONS INC   
1961,Everclear 151,34.99,1750mL,1750,1,23.91,8352,LUXCO INC                  
1964,Jim Beam Single Barrel,29.99,750mL,750,1,23.07,12546,JIM BEAM BRANDS COMPANY    
1974,Breaking & Entering Bourbon,37.99,750mL,750,1,29.91,9165,ULTRA BEVERAGE COMPANY LLP 
1987,White Mountain Moonshine,18.99,375mL,375,1,13.66,17031,FLAG HILL WINERY & VINEYARD
1997,Charles Goodnight Bourbon,42.99,750mL,750,1,30.93,4425,MARTIGNETTI COMPANIES
2008,Rebel Yell Small Batch Rye,21.99,750mL,750,1,16.66,8352,LUXCO INC                  
2015,Jack Daniels Tennessee Honey,22.99,750mL,750,1,18.1,1128,BROWN-FORMAN CORP          
2016,Ardbeg Perpetuum Single Malt,99.99,750mL,750,1,74.62,8112,MOET HENNESSY USA INC      
2017,Redbreast Irish Whiskey,63.99,750mL,750,1,44.77,17035,PERNOD RICARD USA          
2024,Black Velvet Toasted Caramel,5.99,375mL,375,1,4.44,1392,CONSTELLATION BRANDS INC   
2026,Camarena Silver Tequila,18.99,750mL,750,1,14.61,3252,E & J GALLO WINERY         
2027,Mayfair London Dry Gin,29.99,750mL,750,1,16.66,6213,MHW LTD                    
2029,Springbank 10 Yr Scotch,68.99,750mL,750,1,51.1,9165,ULTRA BEVERAGE COMPANY LLP 
2030,Glen Moray 12 Yr Scotch,30.99,750mL,750,1,23.48,7153,PINE STATE TRADING CO      
2035,Glen Moray Classic Scotch,19.99,750mL,750,1,14.28,7153,PINE STATE TRADING CO      
2036,Jim Beam Signature Craft Ltd,36.99,750mL,750,1,29.13,12546,JIM BEAM BRANDS COMPANY    
2041,Redbreast 15 Yr Old Irish,84.99,750mL,750,1,61.14,17035,PERNOD RICARD USA          
2043,I.W. Harper Bourbon,29.99,750mL,750,1,23.07,3960,DIAGEO NORTH AMERICA INC   
2047,Sheep Dip Scotch,34.99,750mL,750,1,25.36,9744,FREDERICK WILDMAN & SONS   
2050,Tomatin 18 Yr Single Malt,64.99,750mL,750,1,49.61,9206,PHILLIPS PRODUCTS CO.      
2062,Woodford Reserve Bourbon,59.99,1750mL,1750,1,44.11,1128,BROWN-FORMAN CORP          
2082,Balvenie 15 Yr Sherry Cask,109.99,750mL,750,1,74.07,3664,WILLIAM GRANT & SONS INC   
2085,Jesse James America's Outlaw,13.99,750mL,750,1,10.6,653,STATE WINE & SPIRITS   
2088,The Glenlivet 25 Yr Old,299.99,750mL,750,1,223.87,17035,PERNOD RICARD USA          
2089,Bloom Gin,24.99,750mL,750,1,16.53,7153,PINE STATE TRADING CO      
2097,Ole Smoky Hunch Punch Lightn,15.99,750mL,750,1,12.11,6359,OLE SMOKY DISTILLERY LLC   
2098,Snake River Stampede Whisky,29.99,750mL,750,1,16.29,9165,ULTRA BEVERAGE COMPANY LLP 
2100,Canadian Regal,9.99,1750mL,1750,1,7.24,9552,M S WALKER INC             
2101,New Amsterdam Gin,5.99,375mL,375,1,4.37,3252,E & J GALLO WINERY         
2104,Westland American Sngle Malt,69.99,750mL,750,1,50.35,9165,ULTRA BEVERAGE COMPANY LLP 
2105,Black Velvet Toasted Caramel,9.99,750mL,750,1,7.87,1392,CONSTELLATION BRANDS INC   
2108,Ole Smoky Strawberry Lightin,15.99,750mL,750,1,12.59,6359,OLE SMOKY DISTILLERY LLC   
2112,Cutty Sark Prohibition,26.99,750mL,750,1,15.55,2561,EDRINGTON AMERICAS         
2114,Black Velvet Canadian Whisky,12.99,1750mL,1750,1,9.41,1392,CONSTELLATION BRANDS INC   
2115,Black Velvet,7.99,750mL,750,1,4.88,1392,CONSTELLATION BRANDS INC   
2116,Sapling Maple Bourbon,41.99,750mL,750,1,27.33,9165,ULTRA BEVERAGE COMPANY LLP 
2117,Black Velvet Traveler,8.99,750mL,750,1,5.88,1392,CONSTELLATION BRANDS INC   
2120,Canadian Club,16.99,1750mL,1750,1,12.21,12546,JIM BEAM BRANDS COMPANY    
2121,Canadian Club Traveler,9.99,750mL,750,1,7.8,12546,JIM BEAM BRANDS COMPANY    
2122,Canadian Club 1858,9.99,750mL,750,1,7.8,12546,JIM BEAM BRANDS COMPANY    
2123,Angel's Envy Rye,79.99,750mL,750,1,57.96,480,BACARDI USA INC            
2127,Canadian Ltd,10.49,1750mL,1750,1,7.19,660,SAZERAC NORTH AMERICA INC. 
2129,Ole Smoky Charred Tennesse,18.99,750mL,750,1,13.56,6359,OLE SMOKY DISTILLERY LLC   
2130,Bully Boy American Whiskey,29.99,750mL,750,1,22.05,1189,BULLY BOY DISTILLERS       
2131,Jack Daniels No 7 Black Trav,12.99,375mL,375,1,10.15,1128,BROWN-FORMAN CORP          
2132,Lord Calvert Canadian,12.99,1750mL,1750,1,10.23,8352,LUXCO INC                  
2134,Canadian Ltd,2.49,375mL,375,1,1.93,660,SAZERAC NORTH AMERICA INC. 
2136,Elijah Craig 12 Yr Bourbon,27.99,750mL,750,1,21.53,3924,HEAVEN HILL DISTILLERIES   
2142,Bird Dog Apple Whiskey,13.99,750mL,750,1,10.38,9625,WESTERN SPIRITS BEVERAGE CO
2143,Canadian Mist,12.99,1750mL,1750,1,10.07,1128,BROWN-FORMAN CORP          
2145,WolfHound Irish Whiskey,16.99,750mL,750,1,12.68,7153,PINE STATE TRADING CO      
2148,Canadian Mist Traveler,7.99,750mL,750,1,5.96,1128,BROWN-FORMAN CORP          
2149,Canadian Ltd Traveler,6.99,750mL,750,1,5.34,660,SAZERAC NORTH AMERICA INC. 
2152,New Amsterdam Gin,9.99,750mL,750,1,7.19,3252,E & J GALLO WINERY         
2155,McClelland Islay Single Malt,37.99,1750mL,1750,1,24.05,12546,JIM BEAM BRANDS COMPANY    
